%Pluie moyenne journalièere beterou
%2002-2008
%issu des fichiers resultats JV  Ntopamma
%date		P(mm)
04  10  02	6.6981
05  10  02	9.1911
06  10  02	4.623
07  10  02	14.3391
08  10  02	14.5763
09  10  02	6.3772
10  10  02	0.4543
11  10  02	6.8995
12  10  02	0.8283
13  10  02	2.3044
14  10  02	4.2823
15  10  02	0.9034
16  10  02	6.0583
17  10  02	0.1481
18  10  02	0.1668
19  10  02	2.9698
20  10  02	0.0982
21  10  02	1.1485
22  10  02	0.0173
23  10  02	0.0225
24  10  02	0.0778
25  10  02	0.159
26  10  02	0.4134
27  10  02	0.0017
28  10  02	0.0738
29  10  02	0.0661
30  10  02	0.1351
31  10  02	0.0171
01  11  02	0.008
02  11  02	0.0372
03  11  02	0
04  11  02	0
05  11  02	1.6661
06  11  02	0
07  11  02	0
08  11  02	0
09  11  02	0.0825
10  11  02	0
11  11  02	0
12  11  02	0.1312
13  11  02	0
14  11  02	0.0989
15  11  02	0
16  11  02	0
17  11  02	0.0516
18  11  02	0.0215
19  11  02	0
20  11  02	0
21  11  02	0.7046
22  11  02	0.174
23  11  02	0
24  11  02	0
25  11  02	0
26  11  02	0
27  11  02	0
28  11  02	0
29  11  02	0
30  11  02	0
01  12  02	0
02  12  02	0
03  12  02	0
04  12  02	0
05  12  02	0
06  12  02	0
07  12  02	0
08  12  02	0
09  12  02	0
10  12  02	0
11  12  02	0
12  12  02	0
13  12  02	0
14  12  02	0
15  12  02	0
16  12  02	0
17  12  02	0
18  12  02	0
19  12  02	0
20  12  02	0
21  12  02	0
22  12  02	0
23  12  02	0
24  12  02	0
25  12  02	0
26  12  02	0
27  12  02	0
28  12  02	0
29  12  02	0
30  12  02	0
31  12  02	0
01  01  03	0
02  01  03	0
03  01  03	0
04  01  03	0
05  01  03	0
06  01  03	0
07  01  03	0
08  01  03	0
09  01  03	0
10  01  03	0
11  01  03	0
12  01  03	0.4639
13  01  03	0.024
14  01  03	0
15  01  03	0
16  01  03	0
17  01  03	0
18  01  03	0
19  01  03	0
20  01  03	0
21  01  03	0
22  01  03	0
23  01  03	0
24  01  03	0
25  01  03	0
26  01  03	0
27  01  03	0
28  01  03	0
29  01  03	0
30  01  03	0
31  01  03	0
01  02  03	0
02  02  03	0
03  02  03	0
04  02  03	0
05  02  03	0
06  02  03	0
07  02  03	0
08  02  03	0.0107
09  02  03	0.0051
10  02  03	0.0116
11  02  03	0
12  02  03	0
13  02  03	0.0869
14  02  03	0
15  02  03	0.8123
16  02  03	0
17  02  03	9.0768
18  02  03	0.0133
19  02  03	0
20  02  03	0
21  02  03	0
22  02  03	0
23  02  03	0
24  02  03	0
25  02  03	0
26  02  03	0
27  02  03	0
28  02  03	0
01  03  03	0
02  03  03	0
03  03  03	0
04  03  03	0
05  03  03	0
06  03  03	0.0058
07  03  03	0
08  03  03	0
09  03  03	0
10  03  03	0
11  03  03	0
12  03  03	0.4613
13  03  03	0.021
14  03  03	0
15  03  03	0
16  03  03	0
17  03  03	0
18  03  03	0
19  03  03	0
20  03  03	0.0382
21  03  03	0
22  03  03	4.2758
23  03  03	12.9742
24  03  03	2.892
25  03  03	0.0101
26  03  03	0
27  03  03	0
28  03  03	0
29  03  03	0
30  03  03	0
31  03  03	0
01  04  03	0
02  04  03	0
03  04  03	0
04  04  03	0.5282
05  04  03	1.2792
06  04  03	2.095
07  04  03	0.7227
08  04  03	0.8766
09  04  03	0
10  04  03	0
11  04  03	5.9266
12  04  03	1.3378
13  04  03	0.1368
14  04  03	0.3608
15  04  03	12.9958
16  04  03	0.0157
17  04  03	0.0455
18  04  03	0.9077
19  04  03	2.6187
20  04  03	23.295
21  04  03	0.0497
22  04  03	0.0775
23  04  03	2.4949
24  04  03	0.7156
25  04  03	0
26  04  03	0.4936
27  04  03	5.947
28  04  03	0
29  04  03	12.4921
30  04  03	3.1587
01  05  03	0.5523
02  05  03	0.2789
03  05  03	1.4704
04  05  03	0
05  05  03	0
06  05  03	0.0606
07  05  03	12.5294
08  05  03	1.4282
09  05  03	0.3735
10  05  03	1.8572
11  05  03	0.0709
12  05  03	5.3761
13  05  03	0.6241
14  05  03	0.0074
15  05  03	1.1112
16  05  03	1.2276
17  05  03	2.1937
18  05  03	1.6203
19  05  03	0
20  05  03	2.0277
21  05  03	14.8744
22  05  03	0.7831
23  05  03	0.1341
24  05  03	1.2162
25  05  03	0.0411
26  05  03	1.0653
27  05  03	0.0253
28  05  03	9.9087
29  05  03	35.6872
30  05  03	0.2099
31  05  03	6.725
01  06  03	0.6381
02  06  03	25.2456
03  06  03	1.4023
04  06  03	1.8662
