%Bassin de Beterou				
%code lacune 	-9999			
%surface bassin	10080	km2		
%coordonnées (lat, lon)	9.199	2.267		
%date	annee	P	ETP	Q m3 /s

11   12   03 06   00	2003	0	2.3	3.11
12   12   03 06   00	2003	0	2.42	3.05
13   12   03 06   00	2003	0	2.37	2.98
14   12   03 06   00	2003	0.72	2.49	2.89
15   12   03 06   00	2003	0	2.52	2.79
16   12   03 06   00	2003	0	2.9	2.69
17   12   03 06   00	2003	0	2.7	2.61
18   12   03 06   00	2003	0	2.64	2.46
19   12   03 06   00	2003	0	3.23	2.37
20   12   03 06   00	2003	0	4.16	2.32
21   12   03 06   00	2003	0	3.12	2.26
22   12   03 06   00	2003	0	3.62	2.23
23   12   03 06   00	2003	0	2.98	2.16
24   12   03 06   00	2003	0	2.64	2.11
25   12   03 06   00	2003	0	2.72	2.05
26   12   03 06   00	2003	0	3.71	2.04
27   12   03 06   00	2003	0	3.81	2.02
28   12   03 06   00	2003	0	3.56	1.95
29   12   03 06   00	2003	0	3.3	1.88
30   12   03 06   00	2003	0	3.83	1.8
31   12   03 06   00	2003	0	2.53	1.71
01   01   04 06   00	2004	0	3.2	1.71
02   01   04 06   00	2004	0	2.09	1.56
03   01   04 06   00	2004	0	2.5	1.54
04   01   04 06   00	2004	0	1.96	1.59
05   01   04 06   00	2004	0	2.22	1.59
06   01   04 06   00	2004	0	2.83	1.57
07   01   04 06   00	2004	0	3.12	1.51
08   01   04 06   00	2004	0	3.46	1.46
09   01   04 06   00	2004	0	3.7	1.42
10   01   04 06   00	2004	0	3.68	1.4
13   01   04 06   00	2004	0	3.27	1.29
14   01   04 06   00	2004	0	3.32	1.24
15   01   04 06   00	2004	0	2.99	1.2
16   01   04 06   00	2004	0	2.68	1.15
17   01   04 06   00	2004	0	3.28	1.1
18   01   04 06   00	2004	0	3.47	1.06
19   01   04 06   00	2004	0	2.09	1.05
20   01   04 06   00	2004	0	1.78	1.01
21   01   04 06   00	2004	36.52	2.62	1.08
22   01   04 06   00	2004	1.77	0.87	1.4
23   01   04 06   00	2004	0.1	4	1.35
24   01   04 06   00	2004	0.02	3.47	1.28
25   01   04 06   00	2004	0.01	3.39	1.71
26   01   04 06   00	2004	0	3.48	3.24
27   01   04 06   00	2004	0	4.39	3.36
28   01   04 06   00	2004	0	4.59	3.04
29   01   04 06   00	2004	0	4.44	2.78
30   01   04 06   00	2004	0	3.51	2.39
31   01   04 06   00	2004	0.06	3.25	2.37
01   02   04 06   00	2004	0.03	2.99	2.3
02   02   04 06   00	2004	0.3	2.92	2.16
03   02   04 06   00	2004	0	4.59	1.86
04   02   04 06   00	2004	0	4.96	1.74
05   02   04 06   00	2004	0.04	4.32	1.63
06   02   04 06   00	2004	0.02	3.7	1.57
07   02   04 06   00	2004	0	3.75	1.65
08   02   04 06   00	2004	0	3.4	1.77
09   02   04 06   00	2004	0	3.25	1.77
10   02   04 06   00	2004	0.02	2.73	1.73
11   02   04 06   00	2004	0.01	3.23	1.63
12   02   04 06   00	2004	0	3.48	1.57
13   02   04 06   00	2004	0	3.92	1.51
14   02   04 06   00	2004	0	2.56	1.46
15   02   04 06   00	2004	0	2.85	1.4
16   02   04 06   00	2004	0	3.78	1.36
17   02   04 06   00	2004	0	3.47	1.35
18   02   04 06   00	2004	0	3.39	1.29
19   02   04 06   00	2004	0	3.75	1.24
20   02   04 06   00	2004	0	3.64	1.19
21   02   04 06   00	2004	0	2.98	1.15
22   02   04 06   00	2004	0	3.25	1.11
23   02   04 06   00	2004	0	3.23	1.07
24   02   04 06   00	2004	0	3.36	1.05
25   02   04 06   00	2004	0	3.2	1
26   02   04 06   00	2004	0	3.29	0.96
27   02   04 06   00	2004	0	3.27	0.93
28   02   04 06   00	2004	0	3.43	0.93
02   03   04 06   00	2004	0.66	2.94	0.89
03   03   04 06   00	2004	4.99	2.49	0.88
04   03   04 06   00	2004	0.19	3.72	0.84
05   03   04 06   00	2004	0.03	5.03	0.84
06   03   04 06   00	2004	0.03	4.51	0.84
09   03   04 06   00	2004	0	4.23	0.77
10   03   04 06   00	2004	0	3.19	0.57
11   03   04 06   00	2004	0	3.33	0
12   03   04 06   00	2004	0	2.62	0
13   03   04 06   00	2004	0	3.19	0
14   03   04 06   00	2004	0	3.36	0
15   03   04 06   00	2004	0	3.44	0
16   03   04 06   00	2004	0	3.92	0
17   03   04 06   00	2004	0	3.44	0
18   03   04 06   00	2004	0	3.83	0
19   03   04 06   00	2004	0	3.57	0
20   03   04 06   00	2004	0	3.87	0
21   03   04 06   00	2004	0	3.36	0
22   03   04 06   00	2004	0	3.1	0
23   03   04 06   00	2004	0	3.28	0
24   03   04 06   00	2004	0	3.42	0
25   03   04 06   00	2004	0	3.61	0
26   03   04 06   00	2004	0	3.41	0
27   03   04 06   00	2004	0	4.22	0
28   03   04 06   00	2004	0	3.57	0
29   03   04 06   00	2004	0	3.56	0
30   03   04 06   00	2004	0.02	3.99	0
02   04   04 06   00	2004	5.49	4.91	0
03   04   04 06   00	2004	0.15	4.3	0
04   04   04 06   00	2004	0.03	5.05	0
05   04   04 06   00	2004	0.15	5.05	0
06   04   04 06   00	2004	0.83	4.3	0
07   04   04 06   00	2004	17.22	3.83	0
08   04   04 06   00	2004	0.89	2.91	0
09   04   04 06   00	2004	0.03	4.46	0
10   04   04 06   00	2004	0.03	4.38	0
11   04   04 06   00	2004	0.19	5	0
14   04   04 06   00	2004	1.77	4.44	0
15   04   04 06   00	2004	0	5.28	0
16   04   04 06   00	2004	4.51	4.47	0
17   04   04 06   00	2004	1.19	4	0
18   04   04 06   00	2004	0.02	5.18	0
19   04   04 06   00	2004	0.16	4.39	0
20   04   04 06   00	2004	0.45	3.68	0
21   04   04 06   00	2004	3.47	4.39	0
22   04   04 06   00	2004	2.43	3.87	0
23   04   04 06   00	2004	1.47	3.36	0
24   04   04 06   00	2004	3.7	3.02	0
25   04   04 06   00	2004	0	4.91	0
26   04   04 06   00	2004	0.11	4.26	0
27   04   04 06   00	2004	10.8	4.6	0
28   04   04 06   00	2004	1.65	3.86	0
29   04   04 06   00	2004	19.86	5.46	0
30   04   04 06   00	2004	0.58	4.55	0
01   05   04 06   00	2004	0	4.55	0
02   05   04 06   00	2004	0.11	4.41	0
03   05   04 06   00	2004	0.11	4.96	0
04   05   04 06   00	2004	1.4	4.17	0
05   05   04 06   00	2004	1.87	4.49	0
06   05   04 06   00	2004	16.12	4.15	0
07   05   04 06   00	2004	3.79	2.44	0
08   05   04 06   00	2004	0	4.82	0
09   05   04 06   00	2004	0.19	4.21	0
10   05   04 06   00	2004	0	4.37	0
11   05   04 06   00	2004	0.64	4.19	0
12   05   04 06   00	2004	3.58	2.84	0
13   05   04 06   00	2004	0.02	3.97	0
14   05   04 06   00	2004	0	4.21	0
15   05   04 06   00	2004	10.99	5.18	0
16   05   04 06   00	2004	0.1	2.64	0
17   05   04 06   00	2004	0.28	4.48	0
18   05   04 06   00	2004	0	4.67	0
19   05   04 06   00	2004	2	3.64	0
20   05   04 06   00	2004	5.44	2.68	0
21   05   04 06   00	2004	0	2.96	0
22   05   04 06   00	2004	0.81	3.57	0
23   05   04 06   00	2004	12.47	4.23	0
24   05   04 06   00	2004	0.7	2.21	0
25   05   04 06   00	2004	0.23	3.96	0
26   05   04 06   00	2004	19.98	2.76	0
27   05   04 06   00	2004	2.21	1.91	0
28   05   04 06   00	2004	0.13	4.16	0
29   05   04 06   00	2004	7.85	2.67	0
30   05   04 06   00	2004	1.21	4.2	0
31   05   04 06   00	2004	12.42	3.48	0
01   06   04 06   00	2004	0.76	3.09	0
02   06   04 06   00	2004	20.26	4.46	0
03   06   04 06   00	2004	3.2	3.39	0
04   06   04 06   00	2004	8.04	3.91	0
05   06   04 06   00	2004	0.03	3.03	0
06   06   04 06   00	2004	0.07	3.59	0
07   06   04 06   00	2004	3.99	2.48	0
08   06   04 06   00	2004	4.53	2.09	0
09   06   04 06   00	2004	25.15	4.51	0
10   06   04 06   00	2004	0.96	2.99	0
11   06   04 06   00	2004	0.07	4.03	0
12   06   04 06   00	2004	24.08	3.28	0
13   06   04 06   00	2004	6	1.38	0
14   06   04 06   00	2004	0.51	3.23	0
15   06   04 06   00	2004	2.68	4.11	0.39
16   06   04 06   00	2004	6.46	0.74	7.66
17   06   04 06   00	2004	30.21	3.93	14.31
18   06   04 06   00	2004	0.23	2.45	14.81
19   06   04 06   00	2004	0.04	3.52	15.97
20   06   04 06   00	2004	0.08	3.96	18.97
21   06   04 06   00	2004	4.11	4.62	17.3
22   06   04 06   00	2004	6.18	2.77	13.37
23   06   04 06   00	2004	0.57	3.86	11.97
24   06   04 06   00	2004	7.08	3.41	30.97
25   06   04 06   00	2004	11.28	1.17	19.6
26   06   04 06   00	2004	4.32	1.71	13.92
27   06   04 06   00	2004	2.89	3.58	11.8
11   07   04 06   00	2004	21.88	4.4	30.39
12   07   04 06   00	2004	0.26	3.2	28.16
13   07   04 06   00	2004	2	3.95	39.81
14   07   04 06   00	2004	12.85	4.36	57.85
15   07   04 06   00	2004	2.81	4.35	51.59
16   07   04 06   00	2004	3.15	3.98	43.26
17   07   04 06   00	2004	13.24	3.9	38.44
18   07   04 06   00	2004	2.71	1.74	49.76
19   07   04 06   00	2004	5.56	2.9	61.06
20   07   04 06   00	2004	3.6	2.16	69.04
21   07   04 06   00	2004	7.45	2.71	70.02
22   07   04 06   00	2004	18.99	3.69	64.75
23   07   04 06   00	2004	5.73	3.59	55.94
24   07   04 06   00	2004	22.99	3.31	110.49
25   07   04 06   00	2004	11.97	4.47	165.37
26   07   04 06   00	2004	5.05	2.06	174.95
27   07   04 06   00	2004	7.78	1.86	226.55
28   07   04 06   00	2004	17.79	2.46	268.53
29   07   04 06   00	2004	9.18	0.43	245.32
30   07   04 06   00	2004	1.48	2.6	224.12
31   07   04 06   00	2004	20.9	2.64	212.99
01   08   04 06   00	2004	1.88	2.47	192.76
02   08   04 06   00	2004	1.12	3.68	196.65
03   08   04 06   00	2004	0.81	3.06	235.56
04   08   04 06   00	2004	2.07	3.16	234.9
05   08   04 06   00	2004	0.63	3.05	180.99
06   08   04 06   00	2004	15.27	1.62	137.38
07   08   04 06   00	2004	1.55	2.23	136.92
08   08   04 06   00	2004	0.52	4.11	133.65
09   08   04 06   00	2004	6.36	2.36	133.34
10   08   04 06   00	2004	0.19	2.6	117.1
11   08   04 06   00	2004	20.46	4.14	103.24
12   08   04 06   00	2004	2.12	0.77	90.29
13   08   04 06   00	2004	0.43	3.79	123.84
14   08   04 06   00	2004	13.75	3.34	152.33
15   08   04 06   00	2004	0.12	2.4	142.41
16   08   04 06   00	2004	5.66	2.37	131.33
17   08   04 06   00	2004	2.4	3.56	137.91
18   08   04 06   00	2004	0.14	2.21	135.1
19   08   04 06   00	2004	3.45	3.34	136.92
20   08   04 06   00	2004	7.27	2.89	117.79
21   08   04 06   00	2004	5.4	3.01	119.66
22   08   04 06   00	2004	21.8	1.56	162.39
23   08   04 06   00	2004	39.02	1.06	267.6
24   08   04 06   00	2004	5.07	2.73	324.62
25   08   04 06   00	2004	4.37	2.72	343.97
26   08   04 06   00	2004	26.14	3.21	355.16
27   08   04 06   00	2004	4.35	2.32	376.03
28   08   04 06   00	2004	4.51	2.98	375.61
29   08   04 06   00	2004	5.06	4.28	378.84
30   08   04 06   00	2004	7.88	4.39	378.18
31   08   04 06   00	2004	12.38	2.63	361.85
01   09   04 06   00	2004	0.05	4.13	351.05
02   09   04 06   00	2004	0.56	3.45	339.28
03   09   04 06   00	2004	2.39	2.33	321.82
04   09   04 06   00	2004	18.95	3.7	288.03
05   09   04 06   00	2004	0.9	3.59	266.99
06   09   04 06   00	2004	20.2	4.41	277.8
07   09   04 06   00	2004	2.45	2.19	299.4
08   09   04 06   00	2004	0.17	3.83	302.15
09   09   04 06   00	2004	11.72	3.65	303.66
10   09   04 06   00	2004	3.13	4.48	298.65
11   09   04 06   00	2004	8.07	4.39	284.48
12   09   04 06   00	2004	5.99	3.46	269.61
13   09   04 06   00	2004	4.11	3.29	252.1
14   09   04 06   00	2004	0.36	2.91	244.16
15   09   04 06   00	2004	0.29	3.48	226.83
16   09   04 06   00	2004	11.48	4.43	200.59
17   09   04 06   00	2004	11.88	2.32	174.4
18   09   04 06   00	2004	4.12	4.57	174.83
19   09   04 06   00	2004	7.1	4.96	187.97
20   09   04 06   00	2004	16.92	1.98	192.75
21   09   04 06   00	2004	13.26	3.2	202.41
22   09   04 06   00	2004	6.2	3.74	208.79
23   09   04 06   00	2004	18.54	4.01	219.53
24   09   04 06   00	2004	1.15	2.66	212.67
25   09   04 06   00	2004	0.01	4.47	207.83
26   09   04 06   00	2004	21.89	4.39	239.12
27   09   04 06   00	2004	0.19	3.1	256.94
28   09   04 06   00	2004	0.16	3.78	275.82
29   09   04 06   00	2004	0.31	4.02	281.09
30   09   04 06   00	2004	23.69	3.51	271.97
01   10   04 06   00	2004	3.53	2.83	256.8
02   10   04 06   00	2004	4.74	2.67	254.44
03   10   04 06   00	2004	3.83	4.55	253.9
04   10   04 06   00	2004	4.11	4.64	237.92
05   10   04 06   00	2004	5.77	2.69	219.29
06   10   04 06   00	2004	0.19	2.93	207.29
07   10   04 06   00	2004	0.9	3.85	190.66
08   10   04 06   00	2004	0.05	4.3	173.4
09   10   04 06   00	2004	0.05	4.03	153.47
10   10   04 06   00	2004	0.08	4.03	135.64
11   10   04 06   00	2004	2.24	3.39	118.76
12   10   04 06   00	2004	0.04	3.64	105.57
13   10   04 06   00	2004	0.08	4.65	94.03
14   10   04 06   00	2004	0.19	2.31	83.46
15   10   04 06   00	2004	1.33	4.63	74.28
16   10   04 06   00	2004	0.03	4.14	66.23
17   10   04 06   00	2004	0.11	4.07	59.72
18   10   04 06   00	2004	0.01	4.33	53.76
19   10   04 06   00	2004	0.07	4.39	49.07
20   10   04 06   00	2004	0.23	4.5	44.73
21   10   04 06   00	2004	0.05	3.92	40.61
22   10   04 06   00	2004	0	3.84	37.09
23   10   04 06   00	2004	0.03	3.72	34.11
24   10   04 06   00	2004	0.03	3.76	31.79
25   10   04 06   00	2004	0	3.63	29.66
26   10   04 06   00	2004	0.06	2.64	27.37
27   10   04 06   00	2004	0.12	3.83	25.21
28   10   04 06   00	2004	0.44	3.5	23.85
29   10   04 06   00	2004	0	3.52	22.29
30   10   04 06   00	2004	0	4.22	20.37
31   10   04 06   00	2004	0.07	3.62	18.79
01   11   04 06   00	2004	0.76	3.49	17.56
02   11   04 06   00	2004	8.95	4.12	16.61
03   11   04 06   00	2004	12.81	3.92	16.06
04   11   04 06   00	2004	0.71	3.23	16.06
05   11   04 06   00	2004	0.09	3.96	16.18
06   11   04 06   00	2004	0.76	3.57	17.96
07   11   04 06   00	2004	4.93	3.92	18.36
08   11   04 06   00	2004	0.11	4.12	18.22
09   11   04 06   00	2004	0.12	3.78	16.57
10   11   04 06   00	2004	0.02	3.41	14.16
11   11   04 06   00	2004	0.15	2.71	12.46
12   11   04 06   00	2004	9.3	2.89	11.37
13   11   04 06   00	2004	4.32	3.11	10.66
20   11   04 06   00	2004	0	2.85	8.54
21   11   04 06   00	2004	0	3.3	8.06
22   11   04 06   00	2004	0	3.19	7.47
23   11   04 06   00	2004	0.19	2.97	6.9
24   11   04 06   00	2004	0	3.34	6.42
25   11   04 06   00	2004	1.38	2.88	6.07
26   11   04 06   00	2004	0	2.5	5.7
27   11   04 06   00	2004	0	2.6	5.46
28   11   04 06   00	2004	0	2.8	5.22
29   11   04 06   00	2004	0	2.74	5.01
30   11   04 06   00	2004	0	2.28	4.85
01   12   04 06   00	2004	0	2.13	4.67
02   12   04 06   00	2004	0	2.3	4.48
03   12   04 06   00	2004	0	3.17	4.31
04   12   04 06   00	2004	0	3.03	4.12
05   12   04 06   00	2004	0	2.49	4.02
06   12   04 06   00	2004	0	2.54	3.92
07   12   04 06   00	2004	0	2.62	3.9
08   12   04 06   00	2004	0	2.27	3.9
09   12   04 06   00	2004	0	3.06	3.9
10   12   04 06   00	2004	0	2.32	3.9
11   12   04 06   00	2004	0	2.55	3.89
12   12   04 06   00	2004	0	2.1	3.82
13   12   04 06   00	2004	0	2.5	3.8
14   12   04 06   00	2004	0	2.58	3.8
15   12   04 06   00	2004	0	2.49	3.8
16   12   04 06   00	2004	0	2.54	3.8
17   12   04 06   00	2004	0	2.74	3.8
18   12   04 06   00	2004	0	2.53	3.8
19   12   04 06   00	2004	0	2.13	3.8
20   12   04 06   00	2004	0	2.06	3.8
21   12   04 06   00	2004	0	2.31	3.8
22   12   04 06   00	2004	0	1.65	3.8
23   12   04 06   00	2004	0	1.88	3.8
24   12   04 06   00	2004	0	1.8	3.8
25   12   04 06   00	2004	0	2.57	3.8
26   12   04 06   00	2004	0	2.99	3.8
27   12   04 06   00	2004	0	2.05	3.8
28   12   04 06   00	2004	0	2.13	3.8
29   12   04 06   00	2004	0	2.33	3.8
30   12   04 06   00	2004	0	3	3.8
31   12   04 06   00	2004	0	1.95	3.7
01   01   05 06   00	2005	0	3.2	2.03
02   01   05 06   00	2005	0	3.11	1.4
03   01   05 06   00	2005	0	3.1	1.39
04   01   05 06   00	2005	0	2.91	1.38
05   01   05 06   00	2005	0	2.72	1.36
06   01   05 06   00	2005	0	3.77	1.35
07   01   05 06   00	2005	0	4.72	1.34
08   01   05 06   00	2005	0	4.04	1.32
09   01   05 06   00	2005	0	4.64	1.31
10   01   05 06   00	2005	0	4.26	1.3
11   01   05 06   00	2005	0	3.88	1.28
12   01   05 06   00	2005	0	2.39	1.27
13   01   05 06   00	2005	0	2.95	1.25
14   01   05 06   00	2005	0	2.73	1.24
15   01   05 06   00	2005	0	2.33	1.23
16   01   05 06   00	2005	0	2.4	1.21
17   01   05 06   00	2005	0	3.28	1.2
18   01   05 06   00	2005	0	3.69	1.19
19   01   05 06   00	2005	0	4.42	1.17
20   01   05 06   00	2005	0	2.75	1.15
21   01   05 06   00	2005	0	3.18	1.11
22   01   05 06   00	2005	0	2.87	1.11
23   01   05 06   00	2005	0	3.56	1.11
24   01   05 06   00	2005	0	3.36	1.11
25   01   05 06   00	2005	0	3.03	1.11
26   01   05 06   00	2005	0	3.17	1.11
27   01   05 06   00	2005	0	3.62	1.11
28   01   05 06   00	2005	0	3.43	1.11
29   01   05 06   00	2005	0	1.53	1.11
30   01   05 06   00	2005	0	2.83	1.11
31   01   05 06   00	2005	0	4.05	1.11
01   02   05 06   00	2005	0	3.97	1.11
02   02   05 06   00	2005	0	4.85	1.11
03   02   05 06   00	2005	0	2.83	1.11
04   02   05 06   00	2005	0	2.39	1.11
05   02   05 06   00	2005	0	2.31	1.11
06   02   05 06   00	2005	0	2.62	1.11
07   02   05 06   00	2005	0	2.27	1.11
08   02   05 06   00	2005	0	3.17	1.11
09   02   05 06   00	2005	0	2.81	1.11
10   02   05 06   00	2005	0	3.09	1.11
11   02   05 06   00	2005	0	3.32	1.11
12   02   05 06   00	2005	0	3.73	1.11
13   02   05 06   00	2005	0	4.1	1.11
14   02   05 06   00	2005	0	3.61	1.11
15   02   05 06   00	2005	0	3.44	1.11
16   02   05 06   00	2005	0	3.35	1.11
17   02   05 06   00	2005	0	2.06	1.11
18   02   05 06   00	2005	0	2.8	1.11
19   02   05 06   00	2005	0	3.26	1.11
20   02   05 06   00	2005	9.8	3.5	1.11
21   02   05 06   00	2005	0	3.47	1.11
22   02   05 06   00	2005	0	4.53	1.11
23   02   05 06   00	2005	0	3.3	1.11
24   02   05 06   00	2005	0	5.34	1.11
25   02   05 06   00	2005	0	4.23	1.11
26   02   05 06   00	2005	0	5.13	1.11
27   02   05 06   00	2005	0.03	1.85	1.11
28   02   05 06   00	2005	0	3.31	1.11
01   03   05 06   00	2005	2.84	3.89	1.11
02   03   05 06   00	2005	0	3.82	1.11
03   03   05 06   00	2005	0	3.98	1.11
04   03   05 06   00	2005	0.67	4.04	1.11
05   03   05 06   00	2005	0	1.58	1.11
06   03   05 06   00	2005	0	3.11	1.11
07   03   05 06   00	2005	18.93	3.88	1.11
08   03   05 06   00	2005	0.42	4.51	1.11
09   03   05 06   00	2005	0	4.57	1.11
10   03   05 06   00	2005	0	4.14	1.11
11   03   05 06   00	2005	0	4.02	1.11
12   03   05 06   00	2005	0	3.98	1.11
13   03   05 06   00	2005	3.91	2.85	1.11
14   03   05 06   00	2005	0.07	4.43	1.11
15   03   05 06   00	2005	4.05	2.76	1.11
16   03   05 06   00	2005	0	4.34	1.11
17   03   05 06   00	2005	0	4.66	1.11
18   03   05 06   00	2005	0	4.52	1.11
19   03   05 06   00	2005	0.2	4.72	1.11
20   03   05 06   00	2005	0	4.47	1.11
21   03   05 06   00	2005	0	4.45	1.11
22   03   05 06   00	2005	1.14	4.96	1.11
23   03   05 06   00	2005	4.64	5.09	1.11
24   03   05 06   00	2005	0.96	5.09	1.11
25   03   05 06   00	2005	1.74	4.15	1.11
26   03   05 06   00	2005	0	3.8	1.11
27   03   05 06   00	2005	0	4.51	1.11
28   03   05 06   00	2005	0	4.24	1.11
29   03   05 06   00	2005	0	4.58	1.11
30   03   05 06   00	2005	0	4.68	1.11
31   03   05 06   00	2005	0	4.67	1.11
01   04   05 06   00	2005	0.03	5.15	1.11
02   04   05 06   00	2005	0.05	4.28	1.11
03   04   05 06   00	2005	1.84	4.13	1.11
04   04   05 06   00	2005	0.1	4.56	1.11
05   04   05 06   00	2005	0.02	4.56	1.11
06   04   05 06   00	2005	0.03	4.33	1.11
07   04   05 06   00	2005	0	4.19	1.11
08   04   05 06   00	2005	0.01	4.64	1.11
09   04   05 06   00	2005	0	4.57	1.11
10   04   05 06   00	2005	0.08	4.26	1.11
11   04   05 06   00	2005	0	4.32	1.11
12   04   05 06   00	2005	0	4.16	1.11
13   04   05 06   00	2005	0	4.08	1.11
14   04   05 06   00	2005	0.02	4.62	1.11
15   04   05 06   00	2005	1.16	4.97	1.11
16   04   05 06   00	2005	0.01	3.83	1.11
17   04   05 06   00	2005	5.28	5.02	1.11
18   04   05 06   00	2005	6.03	4.31	1.11
19   04   05 06   00	2005	0.02	4.14	1.11
20   04   05 06   00	2005	31.67	2.96	1.11
21   04   05 06   00	2005	0.09	3.68	1.11
22   04   05 06   00	2005	0.52	5.38	1.11
23   04   05 06   00	2005	1.36	4.68	1.11
24   04   05 06   00	2005	5.9	4.1	1.11
25   04   05 06   00	2005	0.08	3.88	1.11
26   04   05 06   00	2005	0.6	4.72	1.11
27   04   05 06   00	2005	1.74	4.15	1.11
28   04   05 06   00	2005	0	4.36	1.11
29   04   05 06   00	2005	14.29	3.93	1.1
30   04   05 06   00	2005	0.93	1.23	1.09
01   05   05 06   00	2005	0.05	5.04	1.08
02   05   05 06   00	2005	0.01	4.34	1.07
03   05   05 06   00	2005	0.88	4.34	1.06
04   05   05 06   00	2005	2.85	4.1	1.05
05   05   05 06   00	2005	12.58	4.61	1.04
06   05   05 06   00	2005	6.46	3.63	1.03
07   05   05 06   00	2005	0.55	4.55	1.02
08   05   05 06   00	2005	0.72	4.35	1.01
09   05   05 06   00	2005	5.29	2.86	1
10   05   05 06   00	2005	0.86	3.31	0.99
11   05   05 06   00	2005	2.44	4.41	0.98
12   05   05 06   00	2005	0.15	3.84	0.97
13   05   05 06   00	2005	2.09	5.04	0.96
14   05   05 06   00	2005	0	4.48	0.95
15   05   05 06   00	2005	0.28	4.14	0.94
16   05   05 06   00	2005	3.82	4.17	0.93
17   05   05 06   00	2005	2.28	2.92	0.92
18   05   05 06   00	2005	0.04	4.19	0.91
19   05   05 06   00	2005	5.97	4.44	0.9
20   05   05 06   00	2005	0.19	4.63	0.89
21   05   05 06   00	2005	0	3.56	0.88
22   05   05 06   00	2005	12.38	4.02	0.87
23   05   05 06   00	2005	2.42	3.32	0.86
24   05   05 06   00	2005	0.04	4.72	0.85
25   05   05 06   00	2005	0.24	4.79	0.84
26   05   05 06   00	2005	0.3	4.73	0.84
27   05   05 06   00	2005	1.89	3.58	0.84
28   05   05 06   00	2005	3.3	2.43	0.84
29   05   05 06   00	2005	1.62	4.58	0.84
30   05   05 06   00	2005	0.1	3.94	0.84
31   05   05 06   00	2005	24.03	0.87	0.84
01   06   05 06   00	2005	2.14	2.87	0.84
02   06   05 06   00	2005	0.93	3.26	0.84
03   06   05 06   00	2005	1.32	3.47	0.84
04   06   05 06   00	2005	7.57	3.98	0.84
05   06   05 06   00	2005	18.68	2.8	0.84
06   06   05 06   00	2005	2.89	4.34	0.84
07   06   05 06   00	2005	0	4.31	0.84
08   06   05 06   00	2005	4.41	3.68	0.84
09   06   05 06   00	2005	0.63	4.14	0.84
10   06   05 06   00	2005	0.56	3.87	0.84
11   06   05 06   00	2005	8.66	3.62	0.84
12   06   05 06   00	2005	12.54	1.95	0.84
13   06   05 06   00	2005	1.41	2.69	0.84
14   06   05 06   00	2005	0	3.47	0.84
15   06   05 06   00	2005	4.48	3.84	0.84
16   06   05 06   00	2005	12.79	3.25	0.84
17   06   05 06   00	2005	0.02	4.31	0.84
18   06   05 06   00	2005	24.97	2.96	3.05
19   06   05 06   00	2005	0.09	3.21	15.85
20   06   05 06   00	2005	16.52	2.76	17.57
21   06   05 06   00	2005	4.26	1.98	12.19
22   06   05 06   00	2005	3.88	4.1	22.34
23   06   05 06   00	2005	6.88	2.7	17.7
24   06   05 06   00	2005	0.01	2.5	15.37
25   06   05 06   00	2005	0.83	2.67	13.81
26   06   05 06   00	2005	8.59	2.89	10.08
27   06   05 06   00	2005	6.18	2.7	8.78
28   06   05 06   00	2005	0.54	3.72	7.59
29   06   05 06   00	2005	0.78	3.84	7.73
30   06   05 06   00	2005	0.07	3.76	6.81
01   07   05 06   00	2005	2.98	3.84	5.81
02   07   05 06   00	2005	2.2	2.82	6.14
03   07   05 06   00	2005	34.79	2.16	14.29
04   07   05 06   00	2005	0.13	3.01	17.48
05   07   05 06   00	2005	0.03	3.59	15.99
06   07   05 06   00	2005	12.98	1.89	13.97
07   07   05 06   00	2005	1.29	3.52	15.76
08   07   05 06   00	2005	0.31	2.34	17.77
09   07   05 06   00	2005	7.78	3.51	18.57
10   07   05 06   00	2005	12.03	2.78	17.04
11   07   05 06   00	2005	1.28	1.17	14.6
12   07   05 06   00	2005	0.01	3.38	17.13
13   07   05 06   00	2005	28.09	4.1	18.77
14   07   05 06   00	2005	29.31	1.84	44.35
15   07   05 06   00	2005	3.54	3.64	59.81
16   07   05 06   00	2005	8.76	3.87	97.39
17   07   05 06   00	2005	22.57	4.91	186.03
18   07   05 06   00	2005	2.54	2.44	243.88
19   07   05 06   00	2005	7.83	4.16	218.8
20   07   05 06   00	2005	20.3	3.56	145.39
21   07   05 06   00	2005	18.41	4.43	154.33
22   07   05 06   00	2005	0.71	3	212.25
23   07   05 06   00	2005	2.06	3.72	216.2
24   07   05 06   00	2005	3.01	4.39	209.96
25   07   05 06   00	2005	27.47	4.25	142.78
26   07   05 06   00	2005	0.03	3.69	88.48
27   07   05 06   00	2005	5.07	3.33	115.05
28   07   05 06   00	2005	14.78	4.44	162.2
29   07   05 06   00	2005	0.84	1.55	133.97
30   07   05 06   00	2005	6.63	2.85	70.39
31   07   05 06   00	2005	6.55	1.04	64.34
01   08   05 06   00	2005	4.15	3.85	87.52
02   08   05 06   00	2005	7.86	3.02	103.41
03   08   05 06   00	2005	5.22	3.46	118.32
04   08   05 06   00	2005	1.16	2.44	135
05   08   05 06   00	2005	5.04	2.88	131.84
06   08   05 06   00	2005	0.15	4.07	107.94
07   08   05 06   00	2005	20.83	3.37	112.39
08   08   05 06   00	2005	3.25	3.39	175.2
09   08   05 06   00	2005	10.96	3.04	110.9
10   08   05 06   00	2005	11.23	3.25	100.47
11   08   05 06   00	2005	1.27	2.26	126.12
12   08   05 06   00	2005	1.65	2.77	117.53
