Station Name latitude (dd) longitude (dd) elevation (m) Abbreviated name Regional ID number (cieh) National ID Rivier name Basin Area(km2)
BETEROU 9.199 2.267 272.7 BETE 1114500105  Ouémé 10400
        
missing value code Reliability code for computation of daily average from 24 hourly data     
-9999 F full hourly series, P computed on more than 80% of hourly data, N no sense (gaps)     
        
parameter code parameter name unit elevation from ground(m) manufacturer device model serial number calibration quality check
RUNOFF runoff m3/s  OTT MESSTECHNIK GMBH & CO  THALIMEDES level gauge   checked data
        
local time UTC time year dd hhmn RUNOFF Lower boundary of uncertainty interval Upper boundary of uncertainty interval Reliability
01/03/2005 07:00 01/03/2005 06:00 2005 60 0600 1.11 0.79 1.55
02/03/2005 07:00 02/03/2005 06:00 2005 61 0600 1.11 0.79 1.55
03/03/2005 07:00 03/03/2005 06:00 2005 62 0600 1.11 0.79 1.55
04/03/2005 07:00 04/03/2005 06:00 2005 63 0600 1.11 0.79 1.55
05/03/2005 07:00 05/03/2005 06:00 2005 64 0600 1.11 0.79 1.55
06/03/2005 07:00 06/03/2005 06:00 2005 65 0600 1.11 0.79 1.55
07/03/2005 07:00 07/03/2005 06:00 2005 66 0600 1.11 0.79 1.55
08/03/2005 07:00 08/03/2005 06:00 2005 67 0600 1.11 0.79 1.55
09/03/2005 07:00 09/03/2005 06:00 2005 68 0600 1.11 0.79 1.55
10/03/2005 07:00 10/03/2005 06:00 2005 69 0600 1.11 0.79 1.55
11/03/2005 07:00 11/03/2005 06:00 2005 70 0600 1.11 0.79 1.55
12/03/2005 07:00 12/03/2005 06:00 2005 71 0600 1.11 0.79 1.55
13/03/2005 07:00 13/03/2005 06:00 2005 72 0600 1.11 0.79 1.55
14/03/2005 07:00 14/03/2005 06:00 2005 73 0600 1.11 0.79 1.55
15/03/2005 07:00 15/03/2005 06:00 2005 74 0600 1.11 0.79 1.55
16/03/2005 07:00 16/03/2005 06:00 2005 75 0600 1.11 0.79 1.55
17/03/2005 07:00 17/03/2005 06:00 2005 76 0600 1.11 0.79 1.55
18/03/2005 07:00 18/03/2005 06:00 2005 77 0600 1.11 0.79 1.55
19/03/2005 07:00 19/03/2005 06:00 2005 78 0600 1.11 0.79 1.55
20/03/2005 07:00 20/03/2005 06:00 2005 79 0600 1.11 0.79 1.55
21/03/2005 07:00 21/03/2005 06:00 2005 80 0600 1.11 0.79 1.55
22/03/2005 07:00 22/03/2005 06:00 2005 81 0600 1.11 0.79 1.55
23/03/2005 07:00 23/03/2005 06:00 2005 82 0600 1.11 0.79 1.55
24/03/2005 07:00 24/03/2005 06:00 2005 83 0600 1.11 0.79 1.55
25/03/2005 07:00 25/03/2005 06:00 2005 84 0600 1.11 0.79 1.55
26/03/2005 07:00 26/03/2005 06:00 2005 85 0600 1.11 0.79 1.55
27/03/2005 07:00 27/03/2005 06:00 2005 86 0600 1.11 0.79 1.55
28/03/2005 07:00 28/03/2005 06:00 2005 87 0600 1.11 0.79 1.55
29/03/2005 07:00 29/03/2005 06:00 2005 88 0600 1.11 0.79 1.55
30/03/2005 07:00 30/03/2005 06:00 2005 89 0600 1.11 0.79 1.55
31/03/2005 07:00 31/03/2005 06:00 2005 90 0600 1.11 0.79 1.55
01/04/2005 07:00 01/04/2005 06:00 2005 91 0600 1.11 0.79 1.55
02/04/2005 07:00 02/04/2005 06:00 2005 92 0600 1.11 0.79 1.55
03/04/2005 07:00 03/04/2005 06:00 2005 93 0600 1.11 0.79 1.55
04/04/2005 07:00 04/04/2005 06:00 2005 94 0600 1.11 0.79 1.55
05/04/2005 07:00 05/04/2005 06:00 2005 95 0600 1.11 0.79 1.55
06/04/2005 07:00 06/04/2005 06:00 2005 96 0600 1.11 0.79 1.55
07/04/2005 07:00 07/04/2005 06:00 2005 97 0600 1.11 0.79 1.55
08/04/2005 07:00 08/04/2005 06:00 2005 98 0600 1.11 0.79 1.55
09/04/2005 07:00 09/04/2005 06:00 2005 99 0600 1.11 0.79 1.55
10/04/2005 07:00 10/04/2005 06:00 2005 100 0600 1.11 0.79 1.55
11/04/2005 07:00 11/04/2005 06:00 2005 101 0600 1.11 0.79 1.55
12/04/2005 07:00 12/04/2005 06:00 2005 102 0600 1.11 0.79 1.55
13/04/2005 07:00 13/04/2005 06:00 2005 103 0600 1.11 0.79 1.55
14/04/2005 07:00 14/04/2005 06:00 2005 104 0600 1.11 0.79 1.55
15/04/2005 07:00 15/04/2005 06:00 2005 105 0600 1.11 0.79 1.55
16/04/2005 07:00 16/04/2005 06:00 2005 106 0600 1.11 0.79 1.55
17/04/2005 07:00 17/04/2005 06:00 2005 107 0600 1.11 0.79 1.55
18/04/2005 07:00 18/04/2005 06:00 2005 108 0600 1.11 0.79 1.55
19/04/2005 07:00 19/04/2005 06:00 2005 109 0600 1.11 0.79 1.55
20/04/2005 07:00 20/04/2005 06:00 2005 110 0600 1.11 0.79 1.55
21/04/2005 07:00 21/04/2005 06:00 2005 111 0600 1.11 0.79 1.55
22/04/2005 07:00 22/04/2005 06:00 2005 112 0600 1.11 0.79 1.55
23/04/2005 07:00 23/04/2005 06:00 2005 113 0600 1.11 0.79 1.55
24/04/2005 07:00 24/04/2005 06:00 2005 114 0600 1.11 0.79 1.55
